Date,Time,CO.GT.,PT08.S1.CO.,NMHC.GT.,C6H6.GT.,PT08.S2.NMHC.,NOx.GT.,PT08.S3.NOx.,NO2.GT.,PT08.S4.NO2.,PT08.S5.O3.,T,RH,AH
12/03/2004,12.00.00,21,1206,114,102,986,143,1035,113,1537,959,150,365,6195
12/03/2004,13.00.00,25,1252,140,110,1016,160,1008,116,1593,983,161,345,6262
12/03/2004,14.00.00,27,1287,169,128,1078,163,949,123,1660,1061,163,357,6560
12/03/2004,15.00.00,29,1353,185,142,1122,190,922,126,1740,1139,158,370,6610
12/03/2004,16.00.00,28,1309,165,127,1073,178,954,120,1657,1112,159,372,6657
12/03/2004,17.00.00,24,1274,133,117,1041,150,1006,119,1610,994,169,343,6549
12/03/2004,18.00.00,39,1510,233,193,1277,206,812,149,1910,1410,151,396,6766
12/03/2004,19.00.00,37,1525,242,182,1246,202,821,145,1847,1448,144,434,7084
12/03/2004,20.00.00,66,1843,488,326,1610,340,624,170,2390,1887,129,505,7478
12/03/2004,21.00.00,44,1598,333,201,1299,274,752,149,1941,1627,121,533,7536
12/03/2004,22.00.00,35,1484,215,143,1127,253,839,139,1723,1491,110,591,7740
12/03/2004,23.00.00,54,1677,367,218,1346,300,741,134,2062,1657,97,646,7771
13/03/2004,00.00.00,27,1280,122,96,964,193,963,113,1544,1285,95,641,7597
13/03/2004,01.00.00,19,1196,67,74,873,139,1071,97,1463,1144,91,639,7423
13/03/2004,02.00.00,16,1184,43,54,782,83,1176,82,1365,1043,88,639,7256
13/03/2004,03.00.00,17,1172,46,54,783,NA,1179,NA,1380,996,78,675,7173
13/03/2004,04.00.00,NA,1147,56,62,821,109,1132,83,1412,992,70,711,7158
13/03/2004,05.00.00,1,978,30,26,625,62,1420,65,1274,819,83,636,6982
13/03/2004,06.00.00,12,1100,27,29,646,53,1406,60,1268,835,72,675,6887
13/03/2004,07.00.00,15,1112,47,51,770,139,1228,77,1409,940,63,719,6932
13/03/2004,08.00.00,27,1336,132,118,1043,256,935,96,1678,1192,65,716,6945
13/03/2004,09.00.00,37,1408,239,151,1153,295,830,119,1777,1411,96,597,7124
13/03/2004,10.00.00,32,1447,160,129,1081,250,869,126,1667,1465,124,512,7335
13/03/2004,11.00.00,41,1542,283,161,1184,296,808,158,1780,1583,156,422,7451
13/03/2004,12.00.00,36,1451,210,140,1117,239,875,161,1679,1387,184,338,7090
13/03/2004,13.00.00,28,1328,154,123,1059,153,987,124,1600,1101,194,313,6950
13/03/2004,14.00.00,2,1207,112,86,924,118,1088,102,1488,850,180,348,7127
13/03/2004,15.00.00,2,1240,108,92,947,119,1049,116,1532,947,184,336,7042
13/03/2004,16.00.00,25,1306,111,102,987,138,1004,124,1554,1078,176,351,7012
13/03/2004,17.00.00,23,1326,97,106,1000,148,976,125,1602,1084,167,378,7117
13/03/2004,18.00.00,32,1473,191,155,1163,227,831,148,1779,1395,161,410,7451
13/03/2004,19.00.00,42,1609,258,196,1286,277,758,165,1922,1612,158,424,7569
13/03/2004,20.00.00,42,1611,284,192,1274,279,754,161,1915,1697,157,441,7786
13/03/2004,21.00.00,42,1621,269,183,1247,283,762,159,1860,1886,153,468,8091
13/03/2004,22.00.00,31,1444,180,131,1089,214,844,143,1748,1624,146,486,8060
13/03/2004,23.00.00,26,1418,116,109,1010,172,892,130,1603,1536,147,493,8193
14/03/2004,00.00.00,29,1534,93,110,1013,190,889,129,1611,1535,139,536,8498
14/03/2004,01.00.00,28,1484,131,119,1045,174,880,119,1624,1530,146,515,8536
14/03/2004,02.00.00,25,1367,92,86,925,128,953,104,1543,1337,125,589,8537
14/03/2004,03.00.00,24,1344,132,97,968,NA,921,NA,1620,1278,116,634,8674
14/03/2004,04.00.00,NA,1130,56,52,773,70,1130,82,1452,1051,121,611,8603
14/03/2004,05.00.00,12,1062,32,37,691,53,1272,70,1377,929,115,631,8533
14/03/2004,06.00.00,1,1076,29,25,618,44,1395,63,1333,872,116,622,8473
14/03/2004,07.00.00,9,1028,27,24,615,74,1384,67,1340,853,104,676,8530
14/03/2004,08.00.00,14,1155,36,42,722,101,1225,84,1414,959,116,627,8530
14/03/2004,09.00.00,16,1235,57,64,828,118,1055,83,1527,1093,124,600,8627
14/03/2004,10.00.00,22,1332,129,86,923,144,952,98,1614,1225,145,531,8728
14/03/2004,11.00.00,28,1445,148,109,1009,176,878,114,1696,1355,169,461,8789
14/03/2004,12.00.00,28,1416,145,107,1002,161,907,119,1677,1262,193,383,8474
14/03/2004,13.00.00,2,1281,93,75,880,113,1084,104,1525,980,212,314,7812
14/03/2004,14.00.00,18,1207,84,75,879,103,1104,102,1490,872,214,302,7616
14/03/2004,15.00.00,19,1258,99,82,906,112,1081,107,1511,900,219,290,7525
14/03/2004,16.00.00,3,1458,150,119,1045,170,974,129,1646,1099,222,284,7516
14/03/2004,17.00.00,29,1438,156,120,1051,180,943,128,1668,1206,213,308,7696
14/03/2004,18.00.00,25,1478,122,122,1055,160,929,121,1671,1262,197,367,8307
14/03/2004,19.00.00,46,1808,262,206,1312,261,753,157,1993,1698,184,417,8732
14/03/2004,20.00.00,59,1898,341,231,1381,325,681,173,2103,1905,176,461,9210
14/03/2004,21.00.00,34,1560,214,147,1140,217,784,146,1818,1648,167,496,9320
14/03/2004,22.00.00,21,1324,100,90,940,146,924,121,1587,1423,163,510,9341
14/03/2004,23.00.00,22,1349,79,88,933,152,933,119,1617,1349,147,559,9314
15/03/2004,00.00.00,18,1239,66,74,872,104,985,99,1547,1250,148,547,9164
15/03/2004,01.00.00,18,1239,73,69,853,106,1010,93,1543,1174,140,570,9094
15/03/2004,02.00.00,18,1224,66,70,855,108,998,88,1566,1149,134,613,9361
15/03/2004,03.00.00,11,1078,44,44,734,NA,1128,NA,1487,1021,126,635,9230
15/03/2004,04.00.00,NA,1078,44,40,711,66,1150,71,1468,1013,123,654,9351
15/03/2004,05.00.00,1,1075,39,39,703,88,1156,74,1464,1010,119,674,9375
15/03/2004,06.00.00,14,1157,51,64,830,138,1030,80,1584,1083,114,705,9475
15/03/2004,07.00.00,22,1314,107,97,966,228,897,89,1710,1235,113,702,9401
15/03/2004,08.00.00,55,1797,336,259,1451,360,652,114,2323,1680,124,639,9170
15/03/2004,09.00.00,81,1961,618,367,1701,478,537,149,2665,2184,148,543,9076
15/03/2004,10.00.00,58,1771,438,266,1470,394,622,157,2262,1973,174,456,8993
15/03/2004,11.00.00,42,1564,334,201,1300,319,710,155,2029,1798,198,385,8801
15/03/2004,12.00.00,31,1430,221,141,1120,201,831,134,1783,1522,220,341,8904
15/03/2004,13.00.00,29,1417,207,149,1146,171,830,119,1831,1404,233,322,9096
15/03/2004,14.00.00,29,1400,191,154,1162,159,838,111,1829,1263,239,300,8757
15/03/2004,15.00.00,25,1317,185,121,1053,153,926,104,1707,1137,244,289,8736
15/03/2004,16.00.00,23,1318,141,115,1033,143,950,99,1675,1068,244,294,8848
15/03/2004,17.00.00,28,1445,214,148,1141,156,857,110,1824,1252,238,313,9137
15/03/2004,18.00.00,61,1917,471,321,1601,314,631,162,2447,1843,225,354,9547
15/03/2004,19.00.00,8,2040,685,392,1754,404,542,187,2679,2122,204,425,10086
15/03/2004,20.00.00,65,1895,538,310,1573,320,565,165,2443,1992,183,526,10945
15/03/2004,21.00.00,42,1595,319,199,1294,256,678,145,2058,1707,167,574,10786
15/03/2004,22.00.00,32,1439,224,153,1159,193,764,125,1856,1494,157,602,10654
15/03/2004,23.00.00,14,1142,67,69,852,89,1008,101,1547,1164,153,614,10580
16/03/2004,00.00.00,21,1304,155,111,1019,127,852,103,1731,1272,141,657,10494
16/03/2004,01.00.00,12,1074,49,54,784,79,1098,88,1483,1040,148,606,10148
16/03/2004,02.00.00,8,968,29,28,640,43,1320,61,1386,867,148,592,9879
16/03/2004,03.00.00,7,929,25,23,608,NA,1376,NA,1364,826,136,621,9636
16/03/2004,04.00.00,NA,941,25,26,626,59,1316,59,1373,840,123,662,9450
16/03/2004,05.00.00,6,937,17,20,585,38,1412,52,1348,793,128,632,9283
16/03/2004,06.00.00,9,1017,27,35,681,82,1246,64,1418,870,112,685,9081
16/03/2004,07.00.00,13,1171,50,51,770,99,1162,70,1467,930,110,665,8705
16/03/2004,08.00.00,34,1541,218,162,1185,263,770,97,1889,1407,117,637,8719
16/03/2004,09.00.00,37,1539,285,197,1287,229,698,95,2055,1507,136,563,8743
16/03/2004,10.00.00,53,1735,437,251,1431,396,628,150,2211,1843,178,429,8672
16/03/2004,11.00.00,41,1571,327,200,1297,314,730,162,1973,1729,214,333,8417
16/03/2004,12.00.00,33,1452,283,183,1250,217,776,154,1868,1583,244,274,8231
16/03/2004,13.00.00,4,1579,366,223,1359,252,724,161,1998,1671,253,261,8264
16/03/2004,14.00.00,38,1466,318,204,1309,263,773,161,1897,1491,258,232,7589
16/03/2004,15.00.00,28,1280,228,146,1136,180,893,128,1675,1240,270,202,7094
16/03/2004,16.00.00,29,1407,201,166,1197,184,905,129,1759,1313,282,186,7014
16/03/2004,17.00.00,29,1389,199,158,1173,190,898,133,1739,1363,280,191,7098
16/03/2004,18.00.00,34,1447,237,178,1235,184,859,139,1778,1296,239,257,7519
16/03/2004,19.00.00,39,1551,261,191,1271,181,800,137,1875,1432,213,348,8730
16/03/2004,20.00.00,32,1474,230,158,1173,166,854,143,1776,1432,204,367,8704
16/03/2004,21.00.00,51,1800,349,249,1426,317,700,177,2106,2034,190,413,9007
16/03/2004,22.00.00,26,1379,183,135,1101,184,818,138,1710,1602,179,459,9342
16/03/2004,23.00.00,17,1201,88,91,943,130,935,117,1560,1362,167,489,9226
17/03/2004,00.00.00,17,1205,85,86,925,132,922,107,1547,1314,155,529,9271
17/03/2004,01.00.00,12,1072,47,54,784,95,1066,90,1442,1114,155,519,9059
17/03/2004,02.00.00,9,998,34,41,714,70,1169,79,1383,992,141,556,8910
17/03/2004,03.00.00,7,933,26,26,625,NA,1292,NA,1332,884,131,579,8666
17/03/2004,04.00.00,NA,883,17,19,577,54,1396,60,1303,808,127,579,8447
17/03/2004,05.00.00,5,869,11,16,554,28,1460,40,1268,667,118,580,8026
17/03/2004,06.00.00,5,891,18,19,576,46,1417,53,1289,733,119,574,7978
17/03/2004,07.00.00,16,1173,84,75,878,160,1038,84,1556,1052,99,652,7956
17/03/2004,08.00.00,41,1587,260,214,1334,320,702,108,1999,1534,111,602,7958
17/03/2004,09.00.00,66,1852,534,364,1696,377,553,127,2535,1931,141,500,8020
17/03/2004,10.00.00,43,1522,368,213,1331,280,703,134,2026,1734,177,401,8048
17/03/2004,11.00.00,29,1438,200,154,1161,221,819,135,1782,1595,211,334,8265
17/03/2004,12.00.00,25,1393,145,125,1067,210,905,142,1654,1490,243,283,8471
17/03/2004,13.00.00,28,1452,188,151,1152,204,861,153,1747,1508,256,256,8254
17/03/2004,14.00.00,26,1389,152,137,1108,161,887,123,1712,1334,259,259,8503
17/03/2004,15.00.00,2,1207,103,104,994,135,1013,104,1520,1045,268,187,6500
17/03/2004,16.00.00,29,1365,193,152,1154,186,940,129,1679,1221,293,158,6309
17/03/2004,17.00.00,25,1247,134,123,1060,147,1032,114,1525,1069,285,149,5708
17/03/2004,18.00.00,5,1557,386,270,1478,299,793,158,1981,1569,259,160,5237
17/03/2004,19.00.00,76,1973,577,384,1737,411,617,194,2414,2306,231,265,7403
17/03/2004,20.00.00,67,1975,523,351,1667,347,597,182,2416,2359,205,382,9133
17/03/2004,21.00.00,57,1795,472,272,1485,336,653,180,2174,2050,191,426,9294
17/03/2004,22.00.00,28,1444,206,150,1150,202,770,136,1727,1727,172,441,8558
17/03/2004,23.00.00,26,1488,216,157,1171,178,731,127,1778,1705,160,509,9206
18/03/2004,00.00.00,23,1371,159,130,1083,154,796,116,1669,1551,148,539,9024
18/03/2004,01.00.00,14,1161,70,81,904,92,947,107,1502,1240,143,554,8975
18/03/2004,02.00.00,1,1064,44,55,787,61,1057,88,1407,1115,148,521,8686
18/03/2004,03.00.00,7,970,42,36,687,NA,1196,NA,1351,969,139,539,8501
18/03/2004,04.00.00,NA,954,28,29,645,60,1260,78,1334,925,116,619,8442
18/03/2004,05.00.00,6,931,20,25,623,37,1293,57,1307,828,120,589,8233
18/03/2004,06.00.00,7,938,26,30,650,68,1251,71,1333,893,109,621,8113
18/03/2004,07.00.00,15,1166,78,77,885,139,1005,85,1551,1075,106,633,8067
18/03/2004,08.00.00,47,1643,319,233,1384,339,667,124,2094,1610,115,600,8117
18/03/2004,09.00.00,66,1934,506,358,1682,421,541,151,2468,2051,143,506,8186
18/03/2004,10.00.00,45,1617,NA,213,1333,349,686,150,2010,1819,178,405,8210
18/03/2004,11.00.00,28,1473,NA,143,1127,224,831,152,1752,1568,208,344,8365
18/03/2004,12.00.00,22,1379,NA,125,1068,171,899,139,1663,1374,238,282,8219
18/03/2004,13.00.00,22,1385,NA,122,1056,149,891,133,1648,1268,242,287,8515
18/03/2004,14.00.00,23,1379,NA,131,1087,137,901,126,1660,1144,252,249,7829
18/03/2004,15.00.00,22,1322,NA,144,1129,149,934,128,1639,1109,270,178,6275
18/03/2004,16.00.00,28,1496,NA,168,1205,172,822,169,1767,1347,271,231,8180
18/03/2004,17.00.00,27,1409,NA,145,1131,166,873,149,1689,1206,258,239,7832
18/03/2004,18.00.00,37,1513,NA,215,1338,214,764,156,1957,1397,230,268,7446
18/03/2004,19.00.00,51,1667,NA,264,1464,280,683,168,2118,1588,207,311,7523
18/03/2004,20.00.00,51,1667,NA,260,1453,276,684,176,2051,1569,186,362,7676
18/03/2004,21.00.00,32,1430,NA,141,1121,178,814,135,1732,1322,160,484,8768
18/03/2004,22.00.00,21,1333,NA,103,989,129,885,121,1621,1194,145,578,9456
18/03/2004,23.00.00,17,1262,NA,83,911,95,948,99,1545,1062,131,642,9606
19/03/2004,00.00.00,2,1287,NA,89,936,126,918,106,1606,1040,120,697,9735
19/03/2004,01.00.00,16,1134,NA,66,840,103,1021,96,1501,917,119,711,9915
19/03/2004,02.00.00,9,999,NA,36,688,48,1229,63,1380,594,125,693,10029
19/03/2004,03.00.00,7,961,NA,25,622,NA,1382,NA,1301,430,125,675,9768
19/03/2004,04.00.00,NA,934,NA,18,569,20,1440,32,1280,397,123,677,9665
19/03/2004,05.00.00,5,913,NA,13,525,18,1620,28,1260,370,125,668,9620
19/03/2004,06.00.00,7,969,NA,23,607,56,1373,61,1324,438,123,663,9487
19/03/2004,07.00.00,15,1182,NA,67,845,115,1054,99,1539,704,124,649,9332
19/03/2004,08.00.00,48,1740,NA,228,1372,320,671,157,2144,1476,130,616,9209
19/03/2004,09.00.00,62,1819,NA,313,1582,357,575,166,2456,1716,136,588,9120
19/03/2004,10.00.00,4,1427,NA,192,1275,253,701,149,1980,1398,139,571,9032
19/03/2004,11.00.00,33,1390,NA,164,1191,218,759,135,1879,1268,145,544,8917
19/03/2004,12.00.00,28,1283,NA,140,1117,192,813,127,1751,1188,155,501,8744
19/03/2004,13.00.00,3,1304,NA,153,1157,176,793,122,1801,1171,161,476,8655
19/03/2004,14.00.00,33,1364,NA,167,1202,198,771,135,1875,1250,163,471,8640
19/03/2004,15.00.00,35,1410,NA,190,1268,212,724,139,1957,1344,164,475,8791
19/03/2004,16.00.00,4,1476,NA,194,1280,249,708,147,1955,1378,161,502,9094
19/03/2004,17.00.00,46,1522,NA,209,1320,270,690,158,2005,1435,160,507,9142
19/03/2004,18.00.00,41,1442,NA,202,1301,231,704,146,1952,1372,158,503,8989
19/03/2004,19.00.00,45,1469,NA,217,1344,251,677,144,1997,1471,155,506,8840
19/03/2004,20.00.00,39,1467,NA,198,1292,210,698,138,1942,1439,154,514,8956
19/03/2004,21.00.00,4,1421,NA,167,1202,249,748,143,1854,1429,152,531,9117
19/03/2004,22.00.00,22,1175,NA,91,945,143,904,116,1604,1081,147,576,9573
19/03/2004,23.00.00,21,1215,NA,83,912,127,948,109,1547,993,142,583,9380
20/03/2004,00.00.00,17,1127,NA,58,802,104,1064,92,1447,837,138,579,9085
20/03/2004,01.00.00,16,1090,NA,52,773,86,1105,83,1429,761,139,559,8842
20/03/2004,02.00.00,13,1017,NA,41,718,74,1182,81,1382,650,139,556,8765
20/03/2004,03.00.00,13,997,NA,34,677,NA,1252,NA,1359,591,138,551,8666
20/03/2004,04.00.00,NA,945,NA,29,646,44,1308,55,1332,505,138,546,8574
20/03/2004,05.00.00,8,956,NA,31,661,42,1260,53,1351,518,136,551,8560
20/03/2004,06.00.00,8,966,NA,25,622,63,1317,67,1342,571,136,590,9129
20/03/2004,07.00.00,11,1064,NA,43,728,115,1161,91,1461,842,135,584,8960
20/03/2004,08.00.00,21,1300,NA,89,935,170,902,113,1623,1145,138,580,9083
20/03/2004,09.00.00,24,1348,NA,105,998,147,834,102,1689,1218,146,531,8765
20/03/2004,10.00.00,26,1425,NA,125,1068,166,776,107,1764,1341,150,523,8881
20/03/2004,11.00.00,28,1474,NA,123,1061,195,768,113,1768,1406,154,521,9046
20/03/2004,12.00.00,26,1490,NA,117,1039,182,782,108,1757,1422,163,500,9158
20/03/2004,13.00.00,26,1495,NA,117,1040,168,809,105,1735,1373,171,479,9281
20/03/2004,14.00.00,21,1376,NA,93,953,125,900,93,1636,1153,190,429,9370
20/03/2004,15.00.00,17,1305,NA,76,884,95,980,87,1573,927,195,423,9476
20/03/2004,16.00.00,16,1283,NA,67,844,79,1036,76,1539,766,195,423,9493
20/03/2004,17.00.00,21,1392,NA,97,967,119,930,94,1649,941,191,438,9556
20/03/2004,18.00.00,23,1452,NA,124,1063,142,856,110,1774,1146,185,463,9744
20/03/2004,19.00.00,35,1633,NA,166,1199,215,734,136,1919,1417,174,516,10159
20/03/2004,20.00.00,39,1625,NA,164,1191,229,733,139,1885,1442,171,513,9914
20/03/2004,21.00.00,33,1535,NA,137,1108,206,785,125,1820,1323,164,538,9964
20/03/2004,22.00.00,23,1323,NA,99,973,147,864,111,1712,1125,162,554,10132
20/03/2004,23.00.00,21,1309,NA,89,937,122,905,97,1672,1036,159,577,10356
21/03/2004,00.00.00,28,1456,NA,106,999,175,835,107,1714,1202,157,586,10396
21/03/2004,01.00.00,21,1300,NA,74,872,133,941,90,1577,1054,151,609,10398
21/03/2004,02.00.00,16,1203,NA,62,823,89,1004,84,1526,903,156,566,9951
21/03/2004,03.00.00,16,1195,NA,65,836,NA,987,NA,1554,885,152,579,9941
21/03/2004,04.00.00,NA,1117,NA,58,802,85,1029,87,1539,818,154,578,10021
21/03/2004,05.00.00,11,1062,NA,40,711,55,1136,66,1461,700,149,606,10196
21/03/2004,06.00.00,7,947,NA,21,594,24,1300,36,1390,580,145,630,10316
21/03/2004,07.00.00,8,1065,NA,36,687,72,1143,62,1492,815,142,662,10630
21/03/2004,08.00.00,12,1155,NA,44,734,122,1062,91,1528,1035,145,653,10704
21/03/2004,09.00.00,14,1220,NA,54,782,111,996,89,1560,1067,153,621,10730
21/03/2004,10.00.00,17,1301,NA,71,862,123,914,93,1633,1114,163,590,10868
21/03/2004,11.00.00,18,1279,NA,73,870,106,911,81,1646,1000,189,496,10700
21/03/2004,12.00.00,18,1267,NA,76,883,103,953,82,1617,906,194,461,10249
21/03/2004,13.00.00,19,1239,NA,68,848,102,981,80,1568,822,208,416,10091
21/03/2004,14.00.00,13,1128,NA,46,742,48,1144,48,1507,610,214,403,10126
21/03/2004,15.00.00,16,1243,NA,84,916,63,962,61,1669,657,212,393,9791
21/03/2004,16.00.00,19,1208,NA,69,853,98,1060,89,1506,647,203,380,8942
21/03/2004,17.00.00,23,1306,NA,90,938,132,961,105,1607,762,194,413,9206
21/03/2004,18.00.00,38,1546,NA,151,1151,173,769,116,1874,1122,185,438,9252
21/03/2004,19.00.00,35,1501,NA,126,1071,185,823,119,1744,1130,178,481,9689
21/03/2004,20.00.00,43,1605,NA,151,1153,266,769,144,1840,1637,179,469,9520
21/03/2004,21.00.00,28,1316,NA,99,974,188,883,123,1673,1272,174,491,9688
21/03/2004,22.00.00,19,1195,NA,80,898,122,933,105,1594,1098,170,517,9914
21/03/2004,23.00.00,19,1211,NA,79,896,112,920,93,1624,1066,164,551,10198
22/03/2004,00.00.00,17,1161,NA,61,815,93,995,86,1582,909,161,600,10919
22/03/2004,01.00.00,15,1095,NA,51,767,74,1050,76,1547,818,158,605,10805
22/03/2004,02.00.00,6,897,NA,17,563,23,1417,33,1355,472,163,570,10491
22/03/2004,03.00.00,4,842,NA,7,468,NA,1813,NA,1274,394,169,539,10309
22/03/2004,04.00.00,NA,854,NA,8,481,17,1756,27,1304,396,161,559,10153
22/03/2004,05.00.00,3,845,NA,7,472,15,1786,23,1278,378,165,539,10049
22/03/2004,06.00.00,6,942,NA,20,586,41,1480,46,1373,432,164,540,9979
22/03/2004,07.00.00,12,1090,NA,51,768,86,1072,76,1538,699,157,576,10195
22/03/2004,08.00.00,36,1514,NA,177,1230,226,732,116,1996,1252,158,537,9571
22/03/2004,09.00.00,37,1379,NA,184,1252,214,711,115,1962,1237,174,421,8281
22/03/2004,10.00.00,18,1074,NA,69,854,115,1032,83,1484,772,179,384,7793
22/03/2004,11.00.00,16,1090,NA,73,868,124,1026,87,1509,766,185,367,7764
22/03/2004,12.00.00,19,1110,NA,96,964,122,947,90,1577,829,210,296,7263
22/03/2004,13.00.00,2,1102,NA,104,994,107,955,87,1599,783,213,281,7067
22/03/2004,14.00.00,22,1100,NA,112,1021,133,952,99,1607,822,213,261,6539
22/03/2004,15.00.00,21,1094,NA,107,1003,130,965,99,1574,813,213,268,6681
22/03/2004,16.00.00,23,1076,451,116,1034,150,964,101,1544,813,213,242,6060
22/03/2004,17.00.00,26,1152,185,124,1062,138,928,103,1606,850,202,285,6682
22/03/2004,18.00.00,38,1407,426,183,1249,213,720,129,1932,1276,170,431,8264
22/03/2004,19.00.00,44,1438,672,210,1325,232,678,143,1993,1401,156,474,8347
22/03/2004,20.00.00,45,1425,624,210,1325,238,678,146,1965,1356,153,474,8178
22/03/2004,21.00.00,33,1279,325,145,1131,180,775,124,1758,1243,145,497,8177
22/03/2004,22.00.00,2,1132,143,84,916,128,920,113,1561,1083,139,520,8231
22/03/2004,23.00.00,11,1006,89,43,729,65,1142,80,1370,795,145,494,8106
23/03/2004,00.00.00,9,982,73,38,700,53,1204,72,1359,735,138,514,8071
23/03/2004,01.00.00,8,969,48,27,636,47,1271,64,1309,684,140,513,8163
23/03/2004,02.00.00,7,941,47,25,621,51,1298,70,1330,714,130,568,8444
23/03/2004,03.00.00,5,892,36,12,522,NA,1522,NA,1285,456,110,700,9215
23/03/2004,04.00.00,NA,855,25,8,478,20,1701,31,1261,401,101,768,9483
23/03/2004,05.00.00,3,834,19,6,459,13,1908,22,1212,361,88,805,9147
23/03/2004,06.00.00,5,909,26,18,567,33,1542,47,1287,418,96,754,9004
23/03/2004,07.00.00,11,1061,60,46,745,103,1178,88,1429,616,98,750,9093
23/03/2004,08.00.00,3,1441,248,142,1124,224,851,130,1829,1089,100,742,9117
23/03/2004,09.00.00,38,1498,535,210,1325,244,684,132,2095,1329,112,697,9232
23/03/2004,10.00.00,34,1343,340,162,1185,237,760,132,1857,1311,120,629,8803
23/03/2004,11.00.00,3,1308,325,155,1166,220,792,131,1794,1236,128,558,8210
23/03/2004,12.00.00,27,1209,267,134,1097,207,837,129,1746,1147,131,548,8234
23/03/2004,13.00.00,35,1310,325,169,1207,208,770,132,1847,1301,138,534,8351
23/03/2004,14.00.00,28,1171,268,124,1064,160,881,110,1639,1097,160,424,7674
23/03/2004,15.00.00,19,1112,136,101,980,131,924,99,1589,900,141,498,7971
23/03/2004,16.00.00,2,1132,118,87,927,128,944,100,1570,781,120,611,8537
23/03/2004,17.00.00,3,1225,276,138,1111,176,818,122,1719,1013,136,546,8465
23/03/2004,18.00.00,19,1065,151,93,953,107,962,97,1514,790,137,495,7695
23/03/2004,19.00.00,27,1236,236,130,1084,131,854,112,1688,1059,117,571,7822
