"","pclass","survived","sex","age","embarked"
"273","1st",1,"female",23,"S"
"274","1st",1,"male",6,"C"
"275","1st",1,"male",45,"C"
"276","1st",1,"female",40,"C"
"277","1st",0,"male",57,"C"
"278","1st",1,"female",NA,"C"
"279","1st",1,"male",32,"C"
"280","1st",0,"male",62,"S"
"281","1st",1,"male",54,"C"
"282","1st",1,"female",43,"C"
"283","1st",1,"female",52,"C"
"284","1st",0,"male",NA,"C"
"285","1st",1,"female",62,""
"286","1st",0,"male",67,"S"
"287","1st",0,"female",63,"S"
"288","1st",0,"male",61,"S"
"289","1st",1,"female",48,"S"
"290","1st",1,"female",18,"S"
"291","1st",0,"male",52,"S"
"292","1st",1,"female",39,"S"
"293","1st",1,"male",48,"S"
"294","1st",1,"female",NA,"S"
"295","1st",0,"male",49,"C"
"296","1st",1,"male",17,"C"
"297","1st",1,"female",39,"C"
"298","1st",1,"female",NA,"C"
"299","1st",1,"male",31,"C"
"300","1st",0,"male",40,"C"
"301","1st",0,"male",61,"S"
"302","1st",0,"male",47,"S"
"303","1st",1,"female",35,"C"
"304","1st",0,"male",64,"C"
"305","1st",1,"female",60,"C"
"306","1st",0,"male",60,"S"
"307","1st",0,"male",54,"S"
"308","1st",0,"male",21,"S"
"309","1st",1,"female",55,"C"
"310","1st",1,"female",31,"S"
"311","1st",0,"male",57,"S"
"312","1st",1,"female",45,"S"
"313","1st",0,"male",50,"C"
"314","1st",0,"male",27,"C"
"315","1st",1,"female",50,"C"
"316","1st",1,"female",21,"S"
"317","1st",0,"male",51,"C"
"318","1st",1,"male",21,"C"
"319","1st",0,"male",NA,"S"
"320","1st",1,"female",31,"C"
"321","1st",1,"male",NA,"S"
"322","1st",0,"male",62,"S"
"323","1st",1,"female",36,"C"
"324","2nd",0,"male",30,"C"
"325","2nd",1,"female",28,"C"
"326","2nd",0,"male",30,"S"
"327","2nd",0,"male",18,"S"
"328","2nd",0,"male",25,"S"
"329","2nd",0,"male",34,"S"
"330","2nd",1,"female",36,"S"
"331","2nd",0,"male",57,"S"
"332","2nd",0,"male",18,"S"
"333","2nd",0,"male",23,"S"
"334","2nd",1,"female",36,"S"
"335","2nd",0,"male",28,"S"
"336","2nd",0,"male",51,"S"
"337","2nd",1,"male",32,"S"
"338","2nd",1,"female",19,"S"
"339","2nd",0,"male",28,"S"
"340","2nd",1,"male",1,"S"
"341","2nd",1,"female",4,"S"
"342","2nd",1,"female",12,"S"
"343","2nd",1,"female",36,"S"
"344","2nd",1,"male",34,"S"
"345","2nd",1,"female",19,"S"
"346","2nd",0,"male",23,"S"
"347","2nd",0,"male",26,"S"
"348","2nd",0,"male",42,"S"
"349","2nd",0,"male",27,"S"
"350","2nd",1,"female",24,"S"
"351","2nd",1,"female",15,"S"
"352","2nd",0,"male",60,"S"
"353","2nd",1,"female",40,"S"
"354","2nd",1,"female",20,"S"
"355","2nd",0,"male",25,"S"
"356","2nd",1,"female",36,"S"
"357","2nd",0,"male",25,"S"
"358","2nd",0,"male",42,"S"
"359","2nd",1,"female",42,"S"
"360","2nd",1,"male",0.83,"S"
"361","2nd",1,"male",26,"S"
"362","2nd",1,"female",22,"S"
"363","2nd",1,"female",35,"S"
"364","2nd",0,"male",NA,"S"
"365","2nd",0,"male",19,"S"
"366","2nd",0,"female",44,"S"
"367","2nd",0,"male",54,"S"
"368","2nd",0,"male",52,"S"
"369","2nd",0,"male",37,"S"
"370","2nd",0,"female",29,"S"
"371","2nd",1,"female",25,"S"
"372","2nd",1,"female",45,"S"
"373","2nd",0,"male",29,"S"
"374","2nd",1,"female",28,"S"
"375","2nd",0,"male",29,"S"
"376","2nd",0,"male",28,"S"
"377","2nd",1,"male",24,"S"
"378","2nd",1,"female",8,"S"
"379","2nd",0,"male",31,"S"
"380","2nd",1,"female",31,"S"
"381","2nd",1,"female",22,"S"
"382","2nd",0,"female",30,"S"
"383","2nd",0,"female",NA,"S"
"384","2nd",0,"male",21,"S"
"385","2nd",0,"male",NA,"S"
"386","2nd",1,"male",8,"S"
"387","2nd",0,"male",18,"S"
"388","2nd",1,"female",48,"S"
"389","2nd",1,"female",28,"S"
"390","2nd",0,"male",32,"S"
"391","2nd",0,"male",17,"S"
"392","2nd",0,"male",29,"C"
"393","2nd",1,"female",24,"C"
"394","2nd",0,"male",25,"S"
"395","2nd",0,"male",18,"S"
"396","2nd",1,"female",18,"S"
"397","2nd",1,"female",34,"S"
"398","2nd",0,"male",54,"S"
"399","2nd",1,"male",8,"S"
"400","2nd",0,"male",42,"S"
"401","2nd",1,"female",34,"S"
"402","2nd",1,"female",27,"C"
"403","2nd",1,"female",30,"C"
"404","2nd",0,"male",23,"S"
"405","2nd",0,"male",21,"S"
"406","2nd",0,"male",18,"S"
"407","2nd",0,"male",40,"S"
"408","2nd",1,"female",29,"S"
"409","2nd",0,"male",18,"S"
"410","2nd",0,"male",36,"S"
"411","2nd",0,"male",NA,"S"
"412","2nd",0,"female",38,"S"
"413","2nd",0,"male",35,"S"
"414","2nd",0,"male",38,"S"
"415","2nd",0,"male",34,"S"
"416","2nd",1,"female",34,"S"
"417","2nd",0,"male",16,"S"
"418","2nd",0,"male",26,"S"
"419","2nd",0,"male",47,"S"
"420","2nd",0,"male",21,"S"
"421","2nd",0,"male",21,"S"
"422","2nd",0,"male",24,"S"
"423","2nd",0,"male",24,"S"
"424","2nd",0,"male",34,"S"
"425","2nd",0,"male",30,"S"
"426","2nd",0,"male",52,"S"
"427","2nd",0,"male",30,"S"
"428","2nd",1,"male",0.67,"S"
"429","2nd",1,"female",24,"S"
"430","2nd",0,"male",44,"S"
"431","2nd",1,"female",6,"S"
"432","2nd",0,"male",28,"S"
"433","2nd",1,"male",62,"S"
"434","2nd",0,"male",30,"S"
"435","2nd",1,"female",7,"S"
"436","2nd",0,"male",43,"S"
"437","2nd",1,"female",45,"S"
"438","2nd",1,"female",24,"S"
"439","2nd",1,"female",24,"S"
"440","2nd",0,"male",49,"S"
"441","2nd",1,"female",48,"S"
"442","2nd",1,"female",55,"S"
"443","2nd",0,"male",24,"S"
"444","2nd",0,"male",32,"S"
"445","2nd",0,"male",21,"S"
"446","2nd",0,"female",18,"S"
"447","2nd",1,"female",20,"S"
"448","2nd",0,"male",23,"S"
"449","2nd",0,"male",36,"S"
"450","2nd",1,"female",54,"S"
"451","2nd",0,"male",50,"S"
"452","2nd",0,"male",44,"S"
"453","2nd",1,"female",29,"S"
"454","2nd",0,"male",21,"S"
"455","2nd",1,"male",42,"S"
"456","2nd",0,"male",63,"S"
"457","2nd",0,"female",60,"S"
"458","2nd",0,"male",33,"S"
"459","2nd",1,"female",17,"S"
"460","2nd",0,"male",42,"S"
"461","2nd",1,"female",24,"S"
"462","2nd",0,"male",47,"S"
"463","2nd",0,"male",24,"S"
"464","2nd",0,"male",22,"S"
"465","2nd",0,"male",32,"S"
"466","2nd",1,"female",23,"C"
"467","2nd",0,"male",34,"S"
"468","2nd",1,"female",24,"S"
"469","2nd",0,"female",22,"S"
"470","2nd",1,"female",NA,"Q"
"471","2nd",0,"male",35,"Q"
"472","2nd",1,"female",45,"S"
"473","2nd",0,"male",57,"Q"
"474","2nd",0,"male",NA,"S"
"475","2nd",0,"male",31,"S"
"476","2nd",0,"female",26,"S"
"477","2nd",0,"male",30,"S"
"478","2nd",0,"male",NA,"Q"
"479","2nd",1,"female",1,"C"
"480","2nd",1,"female",3,"C"
"481","2nd",0,"male",25,"C"
"482","2nd",1,"female",22,"C"
"483","2nd",1,"female",17,"C"
"484","2nd",1,"female",NA,"S"
"485","2nd",1,"female",34,"S"
"486","2nd",0,"male",36,"C"
"487","2nd",0,"male",24,"S"
"488","2nd",0,"male",61,"Q"
"489","2nd",0,"male",50,"S"
"490","2nd",1,"female",42,"S"
"491","2nd",0,"female",57,"S"
"492","2nd",0,"male",NA,"C"
"493","2nd",1,"male",1,"C"
"494","2nd",0,"male",31,"C"
"495","2nd",1,"female",24,"C"
"496","2nd",0,"male",NA,"C"
"497","2nd",0,"male",30,"S"
"498","2nd",0,"male",40,"S"
"499","2nd",0,"male",32,"S"
"500","2nd",0,"male",30,"S"
"501","2nd",0,"male",46,"S"
"502","2nd",1,"female",13,"S"
"503","2nd",1,"female",41,"S"
"504","2nd",1,"male",19,"S"
"505","2nd",0,"male",39,"S"
"506","2nd",0,"male",48,"S"
"507","2nd",0,"male",70,"S"
"508","2nd",0,"male",27,"S"
"509","2nd",0,"male",54,"S"
"510","2nd",0,"male",39,"S"
"511","2nd",0,"male",16,"S"
"512","2nd",0,"male",62,"Q"
"513","2nd",0,"male",32.5,"C"
"514","2nd",1,"female",14,"C"
"515","2nd",1,"male",2,"S"
"516","2nd",1,"male",3,"S"
"517","2nd",0,"male",36.5,"S"
"518","2nd",0,"male",26,"S"
"519","2nd",0,"male",19,"S"
"520","2nd",0,"male",28,"S"
"521","2nd",1,"male",20,"C"
"522","2nd",1,"female",29,"S"
"523","2nd",0,"male",39,"S"
"524","2nd",1,"male",22,"S"
"525","2nd",1,"male",NA,"C"
"526","2nd",0,"male",23,"S"
"527","2nd",1,"male",29,"C"
"528","2nd",0,"male",28,"S"
"529","2nd",0,"male",NA,"S"
"530","2nd",1,"female",50,"S"
"531","2nd",0,"male",19,"S"
"532","2nd",0,"male",NA,"C"
"533","2nd",0,"male",41,"S"
"534","2nd",1,"female",21,"S"
"535","2nd",1,"female",19,"S"
"536","2nd",0,"male",43,"S"
"537","2nd",1,"female",32,"S"
"538","2nd",0,"male",34,"S"
"539","2nd",1,"male",30,"C"
"540","2nd",0,"male",27,"C"
"541","2nd",1,"female",2,"S"
"542","2nd",1,"female",8,"S"
"543","2nd",1,"female",33,"S"
"544","2nd",0,"male",36,"S"
"545","2nd",0,"male",34,"S"
"546","2nd",1,"female",30,"S"
"547","2nd",1,"female",28,"S"
"548","2nd",0,"male",23,"C"
"549","2nd",1,"male",0.83,"S"
"550","2nd",1,"male",3,"S"
"551","2nd",1,"female",24,"S"
"552","2nd",1,"female",50,"S"
"553","2nd",0,"male",19,"S"
"554","2nd",1,"female",21,"S"
"555","2nd",0,"male",26,"S"
"556","2nd",0,"male",25,"S"
"557","2nd",0,"male",27,"S"
"558","2nd",1,"female",25,"S"
"559","2nd",1,"female",18,"S"
"560","2nd",1,"female",20,"S"
"561","2nd",1,"female",30,"S"
"562","2nd",0,"male",59,"S"
"563","2nd",1,"female",30,"Q"
"564","2nd",0,"male",35,"S"
"565","2nd",1,"female",40,"S"
"566","2nd",0,"male",25,"S"
"567","2nd",0,"male",41,"C"
"568","2nd",0,"male",25,"S"
"569","2nd",0,"male",18.5,"S"
"570","2nd",0,"male",14,"S"
"571","2nd",1,"female",50,"S"
"572","2nd",0,"male",23,"S"
"573","2nd",1,"female",28,"S"
"574","2nd",1,"female",27,"S"
"575","2nd",0,"male",29,"S"
"576","2nd",0,"female",27,"S"
"577","2nd",0,"male",40,"S"
"578","2nd",1,"female",31,"S"
"579","2nd",0,"male",30,"S"
"580","2nd",0,"male",23,"S"
"581","2nd",1,"female",31,"S"
"582","2nd",0,"male",NA,"S"
"583","2nd",1,"female",12,"S"
"584","2nd",1,"female",40,"S"
"585","2nd",1,"female",32.5,"S"
"586","2nd",0,"male",27,"S"
"587","2nd",1,"female",29,"S"
"588","2nd",1,"male",2,"S"
"589","2nd",1,"female",4,"S"
"590","2nd",1,"female",29,"S"
"591","2nd",1,"female",0.92,"S"
"592","2nd",1,"female",5,"S"
"593","2nd",0,"male",36,"S"
"594","2nd",1,"female",33,"S"
"595","2nd",0,"male",66,"S"
"596","2nd",0,"male",NA,"S"
"597","2nd",1,"male",31,"S"
"598","2nd",1,"male",NA,"S"
"599","2nd",1,"female",26,"S"
"600","2nd",0,"female",24,"S"
"601","3rd",0,"male",42,"S"
"602","3rd",0,"male",13,"S"
"603","3rd",0,"male",16,"S"
"604","3rd",1,"female",35,"S"
"605","3rd",1,"female",16,"S"
"606","3rd",1,"male",25,"S"
"607","3rd",1,"male",20,"S"
"608","3rd",1,"female",18,"C"
"609","3rd",0,"male",30,"S"
"610","3rd",0,"male",26,"S"
"611","3rd",0,"female",40,"S"
"612","3rd",1,"male",0.83,"S"
"613","3rd",1,"female",18,"S"
"614","3rd",1,"male",26,"C"
"615","3rd",0,"male",26,"S"
"616","3rd",0,"male",20,"S"
"617","3rd",0,"male",24,"S"
"618","3rd",0,"male",25,"S"
"619","3rd",0,"male",35,"S"
"620","3rd",0,"male",18,"S"
"621","3rd",0,"male",32,"S"
"622","3rd",1,"female",19,"S"
"623","3rd",0,"male",4,"S"
"624","3rd",0,"female",6,"S"
"625","3rd",0,"female",2,"S"
"626","3rd",1,"female",17,"S"
"627","3rd",0,"female",38,"S"
"628","3rd",0,"female",9,"S"
"629","3rd",0,"female",11,"S"
"630","3rd",0,"male",39,"S"
"631","3rd",1,"male",27,"S"
"632","3rd",0,"male",26,"S"
"633","3rd",0,"female",39,"S"
"634","3rd",0,"male",20,"S"
"635","3rd",0,"male",26,"S"
"636","3rd",0,"male",25,"S"
"637","3rd",0,"female",18,"S"
"638","3rd",0,"male",24,"S"
"639","3rd",0,"male",35,"S"
"640","3rd",0,"male",5,"S"
"641","3rd",0,"male",9,"S"
"642","3rd",1,"male",3,"S"
"643","3rd",0,"male",13,"S"
"644","3rd",1,"female",5,"S"
"645","3rd",0,"male",40,"S"
"646","3rd",1,"male",23,"S"
"647","3rd",1,"female",38,"S"
"648","3rd",1,"female",45,"C"
"649","3rd",0,"male",21,"C"
"650","3rd",0,"male",23,"S"
"651","3rd",0,"female",17,"C"
"652","3rd",0,"male",30,"C"
"653","3rd",0,"male",23,"S"
"654","3rd",1,"female",13,"C"
"655","3rd",0,"male",20,"C"
"656","3rd",0,"male",32,"S"
"657","3rd",1,"female",33,"S"
"658","3rd",1,"female",0.75,"C"
"659","3rd",1,"female",0.75,"C"
"660","3rd",1,"female",5,"C"
"661","3rd",1,"female",24,"C"
"662","3rd",1,"female",18,"S"
"663","3rd",0,"male",40,"C"
"664","3rd",0,"male",26,"S"
"665","3rd",1,"male",20,"C"
"666","3rd",0,"female",18,"C"
"667","3rd",0,"female",45,"C"
"668","3rd",0,"female",27,"Q"
"669","3rd",0,"male",22,"S"
"670","3rd",0,"male",19,"S"
"671","3rd",0,"male",26,"S"
"672","3rd",0,"male",22,"S"
"673","3rd",0,"male",NA,"C"
"674","3rd",0,"male",20,"C"
"675","3rd",1,"male",32,"S"
"676","3rd",0,"male",21,"S"
"677","3rd",0,"male",18,"S"
"678","3rd",0,"male",26,"S"
"679","3rd",0,"male",6,"C"
"680","3rd",0,"female",9,"C"
"681","3rd",0,"male",NA,"C"
"682","3rd",0,"female",NA,"C"
"683","3rd",0,"female",NA,"Q"
"684","3rd",0,"male",40,"Q"
"685","3rd",0,"female",32,"Q"
"686","3rd",0,"male",21,"S"
"687","3rd",1,"female",22,"Q"
"688","3rd",0,"female",20,"S"
"689","3rd",0,"male",29,"S"
"690","3rd",0,"male",22,"S"
"691","3rd",0,"male",22,"S"
"692","3rd",0,"male",35,"S"
"693","3rd",0,"female",18.5,"Q"
"694","3rd",1,"male",21,"Q"
"695","3rd",0,"male",19,"Q"
"696","3rd",0,"female",18,"Q"
"697","3rd",0,"female",21,"S"
"698","3rd",0,"female",30,"S"
"699","3rd",0,"male",18,"S"
"700","3rd",0,"male",38,"S"
"701","3rd",0,"male",17,"S"
"702","3rd",0,"male",17,"S"
"703","3rd",0,"female",21,"Q"
"704","3rd",0,"male",21,"Q"
"705","3rd",0,"male",21,"S"
"706","3rd",0,"male",NA,"C"
"707","3rd",0,"female",NA,"C"
"708","3rd",0,"male",28,"S"
"709","3rd",0,"male",24,"S"
"710","3rd",1,"female",16,"Q"
"711","3rd",0,"female",37,"Q"
"712","3rd",0,"male",28,"S"
"713","3rd",0,"male",24,"S"
"714","3rd",0,"male",21,"Q"
"715","3rd",1,"male",32,"S"
"716","3rd",0,"male",29,"S"
"717","3rd",0,"male",26,"C"
"718","3rd",0,"male",18,"C"
"719","3rd",0,"male",20,"S"
"720","3rd",1,"male",18,"S"
"721","3rd",0,"male",24,"Q"
"722","3rd",0,"male",36,"S"
"723","3rd",0,"male",24,"S"
"724","3rd",0,"male",31,"Q"
"725","3rd",0,"male",31,"Q"
"726","3rd",1,"female",22,"Q"
"727","3rd",0,"female",30,"Q"
"728","3rd",0,"male",70.5,"Q"
"729","3rd",0,"male",43,"S"
"730","3rd",0,"male",35,"S"
"731","3rd",0,"male",27,"S"
"732","3rd",0,"male",19,"S"
"733","3rd",0,"male",30,"S"
"734","3rd",1,"male",9,"S"
"735","3rd",1,"male",3,"S"
"736","3rd",1,"female",36,"S"
"737","3rd",0,"male",59,"S"
"738","3rd",0,"male",19,"S"
"739","3rd",1,"female",17,"S"
"740","3rd",0,"male",44,"S"
"741","3rd",0,"male",17,"S"
"742","3rd",0,"male",22.5,"C"
"743","3rd",1,"male",45,"S"
"744","3rd",0,"female",22,"S"
"745","3rd",0,"male",19,"S"
"746","3rd",1,"female",30,"Q"
"747","3rd",1,"male",29,"Q"
"748","3rd",0,"male",0.33,"S"
"749","3rd",0,"male",34,"S"
"750","3rd",0,"female",28,"S"
"751","3rd",0,"male",27,"S"
"752","3rd",0,"male",25,"S"
"753","3rd",0,"male",24,"S"
"754","3rd",0,"male",22,"S"
"755","3rd",0,"male",21,"S"
"756","3rd",0,"male",17,"S"
"757","3rd",0,"male",NA,"S"
"758","3rd",1,"female",NA,"S"
"759","3rd",1,"male",36.5,"S"
"760","3rd",1,"female",36,"S"
"761","3rd",1,"male",30,"S"
"762","3rd",0,"male",16,"S"
"763","3rd",1,"male",1,"S"
"764","3rd",1,"female",0.17,"S"
"765","3rd",0,"male",26,"S"
"766","3rd",1,"female",33,"S"
"767","3rd",0,"male",25,"S"
"768","3rd",0,"male",NA,"S"
"769","3rd",0,"male",NA,"S"
"770","3rd",0,"male",22,"S"
"771","3rd",0,"male",36,"S"
"772","3rd",1,"female",19,"Q"
"773","3rd",0,"male",17,"S"
"774","3rd",0,"male",42,"S"
"775","3rd",0,"male",43,"S"
"776","3rd",0,"male",NA,"C"
"777","3rd",0,"male",32,"Q"
"778","3rd",1,"male",19,"S"
"779","3rd",1,"female",30,"S"
"780","3rd",0,"female",24,"Q"
"781","3rd",1,"female",23,"S"
"782","3rd",0,"male",33,"C"
"783","3rd",0,"male",65,"Q"
"784","3rd",1,"male",24,"S"
"785","3rd",0,"male",23,"S"
